datetime,Open,High,Low,Close,RSI,Momentum,ATR,Volume,Label
2025-05-15T13:36:00.000Z,586.0499878,586.0499878,585.7800293,585.9000244,57.78596033,-0.1900024414,0.3927089146,208294,Sell
2025-05-15T13:37:00.000Z,585.9000244,586.2399902,585.7000122,586.1400146,63.47254103,-0.1400146484,0.418422154,298768,Sell
2025-05-15T13:38:00.000Z,586.1400146,586.1699829,585.8200073,585.9099731,44.30765668,-0.1900024414,0.3855678013,209963,Buy
2025-05-15T13:39:00.000Z,585.9000244,585.9849854,585.710022,585.7800293,33.56867779,-0.5906982422,0.3805629185,216190,Buy
2025-05-15T13:40:00.000Z,585.7800293,585.8300171,585.5001831,585.8099976,39.42765588,-0.2600097656,0.3849487305,225347,Buy
2025-05-15T13:41:00.000Z,585.8049927,585.9949951,585.5900269,585.8099976,24.52725559,-0.09002685547,0.3785313198,290150,Sell
2025-05-15T13:42:00.000Z,585.8300171,586.1699829,585.7299805,585.8449707,36.52313766,-0.2950439453,0.3728114537,346923,Sell
2025-05-15T13:43:00.000Z,585.8549805,586.1400146,585.8300171,586.0499878,58.61923806,0.1400146484,0.3785313198,109130,Sell
2025-05-15T13:44:00.000Z,586.0599976,586.3099976,586.0200195,586.2299805,55.55388093,0.4499511719,0.342817034,189140,Sell
2025-05-15T13:45:00.000Z,586.2299805,586.2700195,586.0200195,586.0200195,56.96623136,0.2100219727,0.3285348075,97199,Sell
2025-05-15T13:46:00.000Z,586.0200195,586.0250244,585.3300171,585.3499756,33.83203304,-0.4600219727,0.3885410854,245338,Sell
2025-05-15T13:47:00.000Z,585.3300171,585.5889893,585.0969238,585.5,39.310519,-0.3449707031,0.4117170061,242627,Buy
2025-05-15T13:48:00.000Z,585.539978,585.5499878,585.1400146,585.2399902,33.33333333,-0.8099975586,0.4124319894,123963,Buy
2025-05-15T13:49:00.000Z,585.2299805,585.4299927,585.0999756,585.3699951,36.84317306,-0.8599853516,0.3967197963,181990,Buy
